Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16680864k(10782920k free), swap 19171232k(11243396k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:NewSize=348966912 -XX:OldPLABSize=16 -XX:OldSize=697933824 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2.430: [GC (Allocation Failure) 2.431: [ParNew: 272640K->1110K(306688K), 0.0022191 secs] 272640K->1110K(1014528K), 0.0027591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.383: [GC (Allocation Failure) 3.383: [ParNew: 273750K->1203K(306688K), 0.0020962 secs] 273750K->1203K(1014528K), 0.0021993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.248: [GC (Allocation Failure) 4.248: [ParNew: 273843K->1270K(306688K), 0.0019097 secs] 273843K->1270K(1014528K), 0.0020334 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
5.098: [GC (Allocation Failure) 5.098: [ParNew: 273910K->1286K(306688K), 0.0018920 secs] 273910K->1286K(1014528K), 0.0019951 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
5.949: [GC (Allocation Failure) 5.949: [ParNew: 273926K->1290K(306688K), 0.0020109 secs] 273926K->1290K(1014528K), 0.0021254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.819: [GC (Allocation Failure) 6.819: [ParNew: 273930K->1291K(306688K), 0.0018584 secs] 273930K->1291K(1014528K), 0.0019552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.675: [GC (Allocation Failure) 7.675: [ParNew: 273931K->172K(306688K), 0.0038574 secs] 273931K->1197K(1014528K), 0.0039443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.534: [GC (Allocation Failure) 8.534: [ParNew: 272812K->86K(306688K), 0.0016992 secs] 273837K->1110K(1014528K), 0.0017924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.415: [GC (Allocation Failure) 9.415: [ParNew: 272726K->32K(306688K), 0.0016280 secs] 273750K->1056K(1014528K), 0.0017193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.292: [GC (Allocation Failure) 10.292: [ParNew: 272672K->5K(306688K), 0.0016300 secs] 273696K->1030K(1014528K), 0.0017225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.127: [GC (Allocation Failure) 11.127: [ParNew: 272645K->4K(306688K), 0.0021077 secs] 273670K->1028K(1014528K), 0.0022009 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 par new generation   total 306688K, used 144485K [0x00000000c0000000, 0x00000000d4cc0000, 0x00000000d4cc0000)
  eden space 272640K,  52% used [0x00000000c0000000, 0x00000000c8d18478, 0x00000000d0a40000)
  from space 34048K,   0% used [0x00000000d2b80000, 0x00000000d2b81020, 0x00000000d4cc0000)
  to   space 34048K,   0% used [0x00000000d0a40000, 0x00000000d0a40000, 0x00000000d2b80000)
 concurrent mark-sweep generation total 707840K, used 1024K [0x00000000d4cc0000, 0x0000000100000000, 0x0000000100000000)
 Metaspace       used 5126K, capacity 5244K, committed 5504K, reserved 1056768K
  class space    used 547K, capacity 594K, committed 640K, reserved 1048576K
